task_name	task_code	task_file	instruction_dur	start_time	end_time
action_observation	acva-acvk	action_observation_02.tsv	5	0	35
flexion_extension_glutes	flexexten_glu	flexion_extension_glutes_02.tsv	5	35	70
oddball	odbal	oddball_02.tsv	5	70	105
n_back	nbko	n_back_02.tsv	5	105	140
flexion_extension	flexexten	flexion_extension_02.tsv	5	140	175
spatial_navigation	spatialnav	spatial_navigation_02.tsv	5	175	210
semantic_prediction	sempred	semantic_prediction_02.tsv	5	210	245
visual_search	visrchsml	visual_search_02.tsv	5	245	280
sentence_reading	senread	sentence_reading_02.tsv	5	280	315
finger_sequence	fingseq	finger_sequence_02.tsv	5	315	350
auditory_narrative	audnarr	auditory_narrative_02.tsv	5	350	385
verb_generation	vrbgn-wrdrd	verb_generation_02.tsv	5	385	420
movie	mov	movie_02.tsv	5	420	455
theory_of_mind	tom	theory_of_mind_02.tsv	5	455	490
